user_id,last_order_date,frequency,monetary,avg_basket,n_items_total,first_order_date,recency,customer_age_days,order_frequency_per_month,R_score,F_score,M_score,RFM_score,RFM_combined,segment
0,2023-11-25,1,24.04,24.04,4,2023-11-25,97,97,0.31,1,1,1,111,1.0,Lost Customers
1,2024-02-13,6,185.83,30.971666666666668,37,2024-01-03,17,58,3.1,4,3,3,433,3.3333333333333335,Loyal Customers
2,2023-09-22,1,13.79,13.79,4,2023-09-22,161,161,0.19,1,1,1,111,1.0,Lost Customers
3,2024-01-19,4,114.53999999999999,28.634999999999998,24,2023-12-01,42,91,1.32,3,2,2,322,2.3333333333333335,Potential Loyalists
4,2024-02-23,11,575.54,52.32181818181818,109,2024-01-30,7,31,10.65,5,4,5,545,4.666666666666667,Champions
5,2023-10-18,2,51.339999999999996,25.669999999999998,8,2023-09-23,135,160,0.38,1,1,1,111,1.0,Lost Customers
6,2023-12-22,2,45.3,22.65,6,2023-11-22,70,100,0.6,2,1,1,211,1.3333333333333333,Potential Loyalists
7,2023-12-16,2,50.36,25.18,13,2023-11-16,76,106,0.57,2,1,1,211,1.3333333333333333,Potential Loyalists
8,2024-02-09,15,699.97,46.66466666666667,135,2024-01-01,21,60,7.5,4,5,5,455,4.666666666666667,Champions
9,2024-01-28,8,225.66,28.2075,47,2024-01-06,33,55,4.36,3,4,3,343,3.3333333333333335,Loyal Customers
10,2024-01-10,6,203.23,33.87166666666666,39,2023-12-26,51,66,2.73,2,3,3,233,2.6666666666666665,Loyal Customers
11,2023-10-20,1,18.53,18.53,1,2023-10-20,133,133,0.23,1,1,1,111,1.0,Lost Customers
12,2023-12-07,2,50.07,25.035,6,2023-11-21,85,101,0.59,2,1,1,211,1.3333333333333333,Potential Loyalists
13,2023-12-16,2,49.5,24.75,6,2023-11-16,76,106,0.57,2,1,1,211,1.3333333333333333,Potential Loyalists
14,2024-01-19,4,134.97,33.7425,21,2023-12-12,42,80,1.5,3,2,2,322,2.3333333333333335,Potential Loyalists
15,2024-02-22,9,353.56,39.284444444444446,58,2024-02-01,8,29,9.31,5,4,4,544,4.333333333333333,Champions
16,2024-02-16,6,167.32999999999998,27.888333333333332,39,2024-01-06,14,55,3.27,4,3,3,433,3.3333333333333335,Loyal Customers
17,2024-02-23,20,1076.2,53.81,193,2024-01-02,7,59,10.17,5,5,5,555,5.0,Champions
18,2024-01-11,3,99.19999999999999,33.06666666666666,17,2023-12-05,50,87,1.03,2,2,2,222,2.0,Potential Loyalists
19,2023-12-24,3,75.78,25.26,19,2023-12-12,68,80,1.12,2,2,2,222,2.0,Potential Loyalists
20,2023-12-07,6,160.92000000000002,26.820000000000004,29,2023-10-12,85,141,1.28,2,3,3,233,2.6666666666666665,Loyal Customers
21,2024-01-20,3,86.03999999999999,28.679999999999996,21,2024-01-15,41,46,1.96,3,2,2,322,2.3333333333333335,Potential Loyalists
22,2023-12-30,1,19.73,19.73,2,2023-12-30,62,62,0.48,2,1,1,211,1.3333333333333333,Potential Loyalists
23,2023-08-26,1,33.1,33.1,6,2023-08-26,188,188,0.16,1,1,1,111,1.0,Lost Customers
24,2023-12-06,3,83.7,27.900000000000002,12,2023-10-29,86,124,0.73,2,2,2,222,2.0,Potential Loyalists
25,2024-02-16,10,452.54,45.254000000000005,87,2024-01-24,14,37,8.11,4,4,4,444,4.0,Champions
26,2024-02-10,4,120.21,30.0525,12,2023-12-18,20,74,1.62,4,2,2,422,2.6666666666666665,Potential Loyalists
27,2024-02-27,13,749.39,57.645384615384614,147,2024-01-14,3,47,8.3,5,5,5,555,5.0,Champions
28,2024-02-29,7,261.05,37.292857142857144,50,2024-02-16,1,14,15.0,5,3,4,534,4.0,Loyal Customers
29,2023-12-22,5,181.79000000000002,36.358000000000004,37,2023-11-13,70,109,1.38,2,2,3,223,2.3333333333333335,Potential Loyalists
30,2023-12-19,4,114.39000000000001,28.597500000000004,18,2023-11-26,73,96,1.25,2,2,2,222,2.0,Potential Loyalists
31,2023-09-30,3,65.75,21.916666666666668,13,2023-08-11,153,203,0.44,1,2,2,122,1.6666666666666667,Lost Customers
32,2024-02-07,6,272.76,45.46,53,2024-01-31,23,30,6.0,4,3,4,434,3.6666666666666665,Loyal Customers
